"id	title	link	snippet",,,,,,,,,,,,,,,,
"191	Presumed asymptomatic carrier transmission of COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762028	Methods| In January 2020", we enrolled a familial cluster of 5 patients with fever and respiratory symptoms who were admitted to the Fifth People's Hospital of Anyang, Anyang, China, and 1 asymptomatic family member. This study was approved by the local …,,,,,,,,,,,,
[8]. • Pressure on healthcare systems because of seasonal influenza may reduce the surge,,,,,,,,,,,,,,,,
capacity needed to cope with the additional demand from COVID-19 cases in the EU/EEA … ,,,,,,,,,,,,,,,,
"
518	China's local governments are combating COVID-19 with unprecedented responses—from a Wenzhou governance perspective	https://link.springer.com/article/10.1007/s11684-020-0755-z	… headed by the mayor. The latest circular issued on February 9 announced measures",,,,,,,,,,,,,,,,
with even elevated rigidness to curb possible COVID-19 transmission at famer markets,,,,,,,,,,,,,,,,
and super- markets. Measures from previous circulars … ,,,,,,,,,,,,,,,,
"
519	Initiation of a new infection control system for the COVID-19 outbreak	https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30110-9/fulltext	… Feb 10",2020, Guangdong Second Provincial General Hospital (Guangzhou, Guangdong Province,,,,,,,,,,,,,
China), as a provincial emergency hospital, had admitted more than 30 confirmed cases of,,,,,,,,,,,,,,
COVID-19 and more than 200 suspected cases. Hospital-related transmission of the … ,,,,,,,,,,,,,,,,
"
520	[HTML][HTML] Clinical considerations for patients with diabetes in times of COVID-19 epidemic	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102582/	… COVID-19 (Coronavirus Disease-2019)", a disease caused by the coronavirus SARS-CoV-2,,,,,,,,,,,,,,,
(Severe Acute Respiratory Syndrome-Coronavirus-2 … The disease is primarily spread through,,,,,,,,,,,,,,,,
large respiratory droplets, though the possibility of other routes of transmission cannot be … ,,,,,,,,,,,,,,,
"
521	Zoonotic parasitosis transmitted by dogs in the Chaco Salteno, Argentina	https://europepmc.org/article/med/10962811	… [Zoonotic parasitosis transmitted by dogs in the Chaco Salteño", Argentina] … Cited by: 5,,,,,,,,,,,,,,,
articles | PMID: 18387747. The investigation of Toxocara canis eggs in coats of different,,,,,,,,,,,,,,,,
dog breeds as a potential transmission route in human toxocariasis … ,,,,,,,,,,,,,,,,
"
522	[HTML][HTML] COVID-19 infection: the perspectives on immune responses	https://www.nature.com/articles/s41418-020-0530-3?fbclid=IwAR2z1do8Bg0koStuyWW9IrfC_tC2d-aA0cO93nRpynLMhiJAalKSxXDg42k	… Transmission of 2019-nCoV Infection from an Asymptomatic Contact in Germany. The New",,,,,,,,,,,,,,,,
England journal of medicine. 2020;382:970-1. https://doi.org/10.1056/NEJMc2001468 … 4. Xu Z,,,,,,,,,,,,,,,,
Shi L, Wang Y, Zhang J, Huang L, Zhang C, et al. Pathological findings of COVID-19 … ,,,,,,,,,,,
"
523	[HTML][HTML] Lower mortality of COVID-19 by early recognition and intervention: experience from Jiangsu Province	https://annalsofintensivecare.springeropen.com/articles/10.1186/s13613-020-00650-2	… The large number of transmission population between Jiangsu and Hubei provinces led to the",,,,,,,,,,,,,,,,
infinite burden in controlling the COVID-19 epidemic in Jiangsu Province [3, 4]. By 24:00 on March,,,,,,,,,,,,,,,
7, a total of 631 confirmed cases of NCP were reported with a portion of critically ill … ,,,,,,,,,,,,,,,
"
524	Clinical features and chest CT manifestations of coronavirus disease 2019 (COVID-19) in a single-center study in Shanghai, China	https://www.ajronline.org/doi/abs/10.2214/AJR.20.22959	… SARS-CoV-2 can be transmitted from human to human through respiratory droplets", contact,,,,,,,,,,,,,,,
and even fecal-oral transmission. Nearly 76,392 cases of coronavirus disease 2019,,,,,,,,,,,,,,,
(COVID-19), the disease caused by SARS-CoV-2, have been confirmed in China, and according … ,,,,,,,,,,,,,
"
525	Can China's COVID-19 strategy work elsewhere?	https://science.sciencemag.org/content/367/6482/1061.summary	… “Hundreds of thousands of people in China did not get COVID-19 because of this",,,,,,,,,,,,,,,,
aggressive response,” he says … Once all the people living together were exposed, the,,,,,,,,,,,,,,
virus had nowhere else to go and chains of transmission ended … ,,,,,,,,,,,,,,,,
"
526	[HTML][HTML] Renin–angiotensin–aldosterone system inhibitors in patients with Covid-19	https://www.nejm.org/doi/full/10.1056/NEJMsr2005760	RAAS Inhibitors in Patients with Covid-19 The effects of renin–angiotensin–",,,,,,,,,,,,,,,,
aldosterone system blockers on angiotensin-converting enzyme 2 levels,,,,,,,,,,,,,,,,
and activity in humans are uncertain. The authors hy...,,,,,,,,,,,,,,,,
"
527	[HTML][HTML] COVID-19 in a long-term care facility—King County, Washington, February 27–March 9, 2020	https://www.cdc.gov/mmwr/volumes/69/wr/mm6912e1.htm	… Rapid and sustained public health interventions focusing on surveillance", infection control, and,,,,,,,,,,,,,,
mitigation efforts are resource-intensive but are critical to curtailing COVID-19 transmission and,,,,,,,,,,,,,,,,
decreasing the impact on vulnerable populations, such as residents of long-term care … ,,,,,,,,,,,,,,,
"
528	Transmission of hepatitis B virus among heart transplant recipients during endomyocardial biopsy procedures.	https://europepmc.org/article/med/9513854	… Transmission of hepatitis B virus among heart transplant recipients during",,,,,,,,,,,,,,,,
endomyocardial biopsy procedures … An epidemiologic case-control study for possible,,,,,,,,,,,,,,,,
risk factors was conducted to identify the mode of transmission … ,,,,,,,,,,,,,,,,
"
529	Cutaneous manifestations in COVID‐19: a first perspective	https://onlinelibrary.wiley.com/doi/abs/10.1111/jdv.16387	… N Engl J Med. 2020;382:970-971. Accepted Article Page 5. This article is protected by copyright.",,,,,,,,,,,,,,,,
All rights reserved 5. Bai Y, Yao L, Wei T, et al. Presumed Asymptomatic Carrier Transmission,,,,,,,,,,,,,
of COVID- 19.JAMA. 2020 Feb 21. doi: 10.1001/jama.2020.2565. [Epub ahead of print] … ,,,,,,,,,,,,,,,,
"
530	Covid-19 pandemic and the skin-What should dermatologists know?	https://www.sciencedirect.com/science/article/pii/S0738081X20300493	… Fig. 2. Hand dermatitis resulting from excessive hand washing as a preventive measure",,,,,,,,,,,,,,,,
in COVID-19 transmission. The atopic diathesis, low humidity, frequency of hand,,,,,,,,,,,,,,
washing, wet work, glove use, and duration of employment … ,,,,,,,,,,,,,
"
531	Implications of COVID-19 for patients with pre-existing digestive diseases	https://www.thelancet.com/journals/langas/article/PIIS2468-1253(20)30076-5/fulltext	… disease", alcohol-related liver disease, and autoimmune hepatitis, and their effect on prognosis,,,,,,,,,,,,,
of COVID-19 needs to be further evaluated. Liver transplantation might involve a risk of,,,,,,,,,,,,,,,,
transmission of viral infection from donor to recipient, as shown in the previous SARS outbreak … ,,,,,,,,,,,,,,,
"
532	A 55-Day-Old Female Infant infected with COVID 19: presenting with pneumonia, liver injury, and heart damage	https://academic.oup.com/jid/advance-article-abstract/doi/10.1093/infdis/jiaa113/5807961	… However", improved systematic serial collection and testing of an in- creased number of urine,,,,,,,,,,,,,,,
samples is warranted to exclude this route of transmission. Finally, our understanding of,,,,,,,,,,,,,,,
COVID-19 is changing on a daily basis, and with continuous efforts from all sides, we hope and … ,,,,,,,,,,,,,,
"
533	[HTML][HTML] Probable pangolin origin of SARS-CoV-2 associated with the COVID-19 outbreak	https://www.sciencedirect.com/science/article/pii/S0960982220303602	… SARS-CoV-2 was probably transmitted to humans by other animals. Considering that the earliest",,,,,,,,,,,,,,,,
coronavirus disease 2019 (COVID-19) patient reported no exposure at the seafood market [5],,,,,,,,,,,,,,,,
it is vital to find the intermediate SARS-CoV-2 host to block interspecies transmission … ,,,,,,,,,,,,,,,,
"
534	Preparing for the most critically ill patients with COVID-19: the potential role of extracorporeal membrane oxygenation	https://jamanetwork.com/journals/jama/article-abstract/2761778	… The global spread of COVID-19", although the number of cases outside of China remains,,,,,,,,,,,,,,,
small, will likely occur via many dispersed epicenters where local transmission has,,,,,,,,,,,,,,,
become established. If these epicenters occur in sophisticated … ,,,,,,,,,,,,,,,,
"
535	[HTML][HTML] Critical Supply Shortages—The Need for Ventilators and Personal Protective Equipment during the Covid-19 Pandemic	https://www.nejm.org/doi/full/10.1056/NEJMp2006141	Critical Supply Shortages US hospitals are already reporting shortages of key equipment needed",,,,,,,,,,,,,,,,
to care for critically ill patients with Covid-19, including ventilators and personal protective equ...,,,,,,,,,,,,,,,
"
536	Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China	https://www.sciencedirect.com/science/article/pii/S0048969720317393	… Lanzhou", Gansu 730000, People's Republic of China. b Sexually Transmitted Disease and,,,,,,,,,,,,,,
Acquired Immune … Wang, M., Jiang, A., Gong, L., Luo, L., Guo, W., Li, C., Zheng, J., Li, C., Yang
B., Zeng, J., 2020. Temperature significant change COVID-19 Transmission in 429 cities … ,,,,,,,,,,,,,
"
537	Insights from early mathematical models of 2019-nCoV acute respiratory disease (COVID-19) dynamics	https://arxiv.org/abs/2002.05296	Insights from early mathematical models of 2019-nCoV acute respiratory disease (COVID-19)",,,,,,,,,,,,,,,,
dynamics … with the 2019 novel coronavirus indicating person-to-person transmission: a study of,,,,,,,,,,,,,,,,
a … Study claiming new coronavirus can be transmitted by people without symptoms was … ,,,,,,,,,,,,,,,,
"
538	Chest CT findings in cases from the cruise ship “Diamond Princess” with coronavirus disease 2019 (COVID-19)	https://pubs.rsna.org/doi/abs/10.1148/ryct.2020200110	… New England Journal of Medicine. 2020. Crossref", Medline, Google Scholar; 8. Bai Y, Yao,,,,,,,,,,,,,
L, Wei T et al. Presumed Asymptomatic Carrier Transmission of COVID-19. JAMA. 2020.,,,,,,,,,,,,,,,
Crossref, Medline, Google Scholar; 9. Pan F, Ye T, Sun P et al … ,,,,,,,,,,,,
"
539	Effective containment explains sub-exponential growth in confirmed cases of recent COVID-19 outbreak in Mainland China	https://arxiv.org/abs/2002.07572	… that mit- igation strategies that target the susceptible population and in- duce behavioral changes",,,,,,,,,,,,,,,,
at this “end” of the transmission pro- cess … This may be of importance for developing containment,,,,,,,,,,,,,,,,
strategies in future scenarios or if the current COVID-19 epidemic were to trigger … ,,,,,,,,,,,,,,,,
"
540	Where are we now with COVID‐19?	https://onlinelibrary.wiley.com/doi/abs/10.1111/ijcp.13497	… transmitted to older and more vulnerable adults could result in more severe infection … more classic",,,,,,,,,,,,,,,,
respiratory route of transmission may be a factor. These early observations appear … spread of the,,,,,,,,,,,,,,,,
virus responsible for COVID 19 becomes more common between apparently … ,,,,,,,,,,,,,,,,
"
541	COVID‐19: A Global Transplant Perspective on Successfully Navigating a Pandemic	https://onlinelibrary.wiley.com/doi/abs/10.1111/ajt.15876	… Page 5. This article is protected by copyright. All rights reserved Approach to Donation There is",,,,,,,,,,,,,,,,
a potential for COVID-19 to be transmitted by organ donation although the risk of this is unclear,,,,,,,,,,,,,,,,
and we are not aware of any reports of transmission. The virus is primarily … ,,,,,,,,,,,,,,,,
"
542	Role of temperature and humidity in the modulation of the doubling time of COVID-19 cases	https://www.medrxiv.org/content/10.1101/2020.03.05.20031872v1.abstract	… transmitted to the World Health Organization",1-3 excluding possible causes such as …,,,,,,,,,,,,,,,
human-to-human transmission was proved, on the 20th of January, the onset of the disease,,,,,,,,,,,,,,
(COVID-19) has changed.2,7-10 According to the China CDC11, the case fatality … ,,,,,,,,,,,,,,
"
543	Covid-19: identifying and isolating asymptomatic people helped eliminate virus in Italian village	https://www.regenhealthsolutions.info/wp-content/uploads/2020/04/Covid-19-identifying-and-isolating-asymptomatic.pdf	… University of Nottingham", said that the “prevalence of asymptomatic or mild disease and its role,,,,,,,,,,,,,,,
in virus transmission and the potential role of children in driving this pandemic” are among the,,,,,,,,,,,,,,,,
“key matters that need to be resolved.” With 3405 deaths from covid-19, Italy's fatalities … ,,,,,,,,,,,,,,,
"
544	[HTML][HTML] Coronavirus disease 2019 (COVID-19): update for anesthesiologists and intensivists March 2020	https://link.springer.com/article/10.1007/s00101-020-00760-3	… Using eye protection (safety goggles or visor) in addition to normal safety equipment has",,,,,,,,,,,,,,,,
been proven to provide a significant reduction of nosocomial transmission in the SARS,,,,,,,,,,,,,,,,
epidemic [18] and is thus suggested in the care of COVID-19 patients … ,,,,,,,,,,,,,,,,
"
545	Understanding Epidemic Data and Statistics: A case study of COVID-19	https://arxiv.org/abs/2003.06933	… by having contact with others directly or by proxy", (in other words by activity) could infect a number,,,,,,,,,,,,,,,
of people, so to reduce the odds of transmission of virus … Understanding Epidemic Data and,,,,,,,,,,,,,,,
Statistics: A case study of COVID-19 A transmitting the growth rate to other cities … ,,,,,,,,,,,,,,,,
"
546	Short-term Forecasts of the COVID-19 Epidemic in Guangdong and Zhejiang, China: February 13–23, 2020	https://www.mdpi.com/2077-0383/9/2/596	… While the transmission potential of this novel coronavirus can reach high values",,,,,,,,,,,,,,,,
[4,5], the epidemiological features of COVID-19 are still unclear, and changes in,,,,,,,,,,,,,
reporting of cases and deaths complicate the analysis of the epidemic … ,,,,,,,,,,,,,,,,
"
547	[PDF][PDF] Rational use of personal protective equipment (PPE) for coronavirus disease (COVID-19): interim guidance, 19 March 2020	https://apps.who.int/iris/bitstream/handle/10665/331498/WHO-2019-nCoV-IPCPPE_use-2020.2-eng.pdf	… COVID-19 is a respiratory disease that is different from Ebola virus disease (EVD)", which is,,,,,,,,,,,,,,,
transmitted through infected bodily fluids. Because of these differences in transmission, the PPE,,,,,,,,,,,,,,,
requirements for COVID-19 are different from those required for EVD … ,,,,,,,,,,,,,,,,
"
548	[HTML][HTML] The Three Steps Needed to End the COVID-19 Pandemic: Bold Public Health Leadership, Rapid Innovations, and Courageous Political Will	https://publichealth.jmir.org/2020/2/e19043	… Coordinated Stay-at-Home Orders. There is public health consensus that limiting",,,,,,,,,,,,,,,,
the number of contacts between persons can slow COVID-19 transmission in a,,,,,,,,,,,,,,,,
community and give time for health care systems to respond. The … ,,,,,,,,,,,,,,,,
"
549	[PDF][PDF] Teicoplanin: an alternative drug for the treatment of coronavirus COVID-19	http://redacaocientifica.com/artigoscoronavirus/Teicoplanin_an_alternative_drug_for_the_treatment_of_coronavirus.pdf	… SARS-CoV-2; drug repurposing; teicoplanin; COVID-19 Hot topic In December 2019", a new,,,,,,,,,,,,,,,
coronavirus has emerged from China causing pneumonia outbreaks first in the Wuhan region,,,,,,,,,,,,,,,,
and have now spread worldwide because of its probable high transmission efficiency [1,2 … ,,,,,,,,,,,,,,,
"
550	Adoption of COVID-19 triage strategies for low-income settings	https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30114-4/fulltext	… Figure: Proposed COVID-19 triage algorithm for low-income settings without established",,,,,,,,,,,,,,,,
local transmission IPC=infection prevention and control. COVID-19=novel coronavirus,,,,,,,,,,,,,,,,
disease 2019. RR=respiratory rate. SpO2=oxygen saturation.,,,,,,,,,,,,,,,,
"
551	[HTML][HTML] One world, one health: The novel coronavirus COVID-19 epidemic	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140244/	… 4 It seems that the COVID-19 could be more easily transmitted than SARS … Neither does the R0",,,,,,,,,,,,,,,,
indicate the transmission rate either … R0 is also an average value: there are people who, although,,,,,,,,,,,,,,,
infected, will not transmit the disease to anyone, while others may transmit it to many … ,,,,,,,,,,,,,,
"
552	[HTML][HTML] Deciphering the power of isolation in controlling COVID-19 outbreaks	https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30085-1/fulltext	… we now know that transmission of COVID-19 virus can occur before symptom onset.",,,,,,,,,,,,,,,,
In the fifth version of Chinese guidelines governing contact tracing, it defined close,,,,,,,,,,,,,,,
contacts as “those who have been in close contact since … ,,,,,,,,,,,,,,,,
"
553	Critical care crisis and some recommendations during the COVID-19 epidemic in China	https://link.springer.com/article/10.1007/s00134-020-05979-7	… Full size image. In summary", the COVID-19 epidemic has placed a huge burden on the Chinese,,,,,,,,,,,,,,,
health care system … References. 1. Li Q, Guan X, Wu P et al (2020) Early transmission dynamics,,,,,,,,,,,,,,
in Wuhan, China, of novel coronavirus-infected pneumonia. N Engl J Med … ,,,,,,,,,,,,,,
"
554	Controlling the Transmission Dynamics of COVID-19	https://arxiv.org/abs/2004.00443	The outbreak of COVID-19 caused by SARS-CoV-2 in Wuhan and other cities in China in 2019 has become a global pandemic as declared by the World Health Organization (WHO) in the first quarter of 2020. The delay in diagnosis, limited hospital resources, and other …
555	[PDF][PDF] COVID-19 outbreak in Northern Italy: First practical indications for radiotherapy departments	https://trod.org.tr/files/1689-2.pdf	… University of Genoa", Italy INTRODUCTION The number of people infected by,,,,,,,,,,,,,,,
COVID-19 is dramatically increasing worldwide [1]. The first person-to-person,,,,,,,,,,,,,,,,
transmission in Italy was reported on February 21,2020, and led to an infection … ,,,,,,,,,,,,,,
"
556	[HTML][HTML] Clinical and CT imaging features of the COVID-19 pneumonia: Focus on pregnant women and children	https://www.sciencedirect.com/science/article/pii/S0163445320301183	… women as we hoped. Fortunately", the infants were all normal without any evidence,,,,,,,,,,,,,,,
of vertical transmission from women with COVID-19 pneumonia in late pregnancy,,,,,,,,,,,,,,,,
which was consistent with the prior research by Chen et al. 16 … ,,,,,,,,,,,,,,,,
"
557	[HTML][HTML] COVID-19: global radiation oncology's targeted response for pandemic preparedness	https://www.sciencedirect.com/science/article/pii/S2405630820300227	… Current evidence suggests COVID-19 is spread by droplets and has an incubation period",,,,,,,,,,,,,,,,
of 1-14 days … However, some cases have been found to be asymptomatic or mildly,,,,,,,,,,,,,,,
symptomatic, leading to higher than expected transmission rates … ,,,,,,,,,,,,,,,
"
558	Coronavirus Disease 2019 (COVID-19): Role of chest CT in diagnosis and management	https://www.ajronline.org/doi/abs/10.2214/AJR.20.22954	… showed that CT had a low rate of missed diagnosis of COVID-19 (3.9%", 2/51) and thus may be,,,,,,,,,,,,,,,
useful as a standard method for the diagnosis of COVID-19 based on CT features and rules of,,,,,,,,,,,,,,,,
transformation. Rapid diagnosis can lead to early control of potential transmission … ,,,,,,,,,,,,,,,,
"
559	[HTML][HTML] COVID-19 Personal Protective Equipment (PPE) for the emergency physician	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7143707/	… Travelers from China then spread the COVID-19 to other countries", causing the WHO to … the likely,,,,,,,,,,,,,,,
mode, recommendations have been upgraded to airborne and contact transmission, since the …,,,,,,,,,,,,,,
seems higher than SARS, and people seem to be able to transmit infection before … ,,,,,,,,,,,,,,,
"
560	Prediction modeling with data fusion and prevention strategy analysis for the COVID-19 outbreak	https://www.ncbi.nlm.nih.gov/pubmed/32129581	… In the early stage of the outbreak of COVID-19", it is of great practical significance to analyze the,,,,,,,,,,,,,,,
transmission risk of the epidemic and evaluate the effectiveness and timeliness of prevention,,,,,,,,,,,,,,,,
and control strategies by using mathematical models and combining with a small … ,,,,,,,,,,,,,,,,
"
561	Critical preparedness, readiness and response actions for COVID-19-7 March 2020	https://covid19-evidence.paho.org/handle/20.500.12663/377	… and outbreaks of COVID-19. Each country should assess its risk and rapidly",,,,,,,,,,,,,,,,
implement the necessary measures at the appropriate scale to reduce both,,,,,,,,,,,,,,,,
COVID-19 transmission and economic, public and social impacts. URI … ,,,,,,,,,,,,,,,
"
562	COVID-19 in pregnancy: early lessons	https://www.sciencedirect.com/science/article/pii/S2589933320300410	… Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in",,,,,,,,,,,,,,,,
nine pregnant women: a retrospective review of medical records. The Lancet 2020; 396:,,,,,,,,,,,,,,,,
809-815 3 Di Mascio et al … Presumed asymptomatic carrier transmission of COVID-19 … ,,,,,,,,,,,,,,,,
"
563	Surgical considerations for tracheostomy during the COVID-19 pandemic: lessons learned from the severe acute respiratory syndrome outbreak	https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/2764033	… human transmission", including secondary infections among health care workers, which was a,,,,,,,,,,,,,,
key feature of the severe acute respiratory syndrome (SARS) epidemic in 2003 and accounted,,,,,,,,,,,,,,,,
for one-fifth of all cases globally. Although SARS and COVID-19 are both transmitted by … ,,,,,,,,,,,,,,,,
"
564	At the epicenter of the Covid-19 pandemic and humanitarian crises in Italy: Changing perspectives on preparation and mitigation	https://catalyst.nejm.org/doi/abs/10.1056/CAT.20.0080	… Pandemic solutions are required for the entire population", not only for hospitals. For example,,,,,,,,,,,,,,,
we are learning that hospitals might be the main Covid-19 carriers, as they are rapidly populated,,,,,,,,,,,,,,,
by infected patients, facilitating transmission to uninfected patients … ,,,,,,,,,,,,,,,
"
565	[HTML][HTML] Covid-19—The Law and Limits of Quarantine	https://www.nejm.org/doi/full/10.1056/NEJMp2004211	Covid-19 — The Law and Limits of Quarantine Community transmission of",,,,,,,,,,,,,,,,
the new coronavirus is occurring in several parts of the United States, and,,,,,,,,,,,,,,,
travel bans and mandatory quarantines alone cannot ...,,,,,,,,,,,,,,,,
"
566	Covid-19: school closures and bans on mass gatherings will need to be considered, says England's CMO	https://www.bmj.com/content/368/bmj.m806	… School closures and bans on mass gatherings will need to be considered if there",,,,,,,,,,,,,,,,
is evidence of onward transmission of covid-19 in the UK, England's chief medical,,,,,,,,,,,,,,,
officer has said. Speaking at the Nuffield Trust annual summit … ,,,,,,,,,,,,,,,,
"
567	Detection of Covid-19 in children in early January 2020 in Wuhan, China	https://www.nejm.org/doi/full/10.1056/NEJMc2003717	… 3. Li Q", Guan X, Wu P, et al. Early transmission dynamics in Wuhan, China, of novel,,,,,,,,,,,
coronavirus–infected pneumonia. N Engl J Med. DOI: 10.1056/NEJMoa2001316. 4. Lipsitch M,,,,,,,,,,,,,,,,
Swerdlow DL, Finelli L. Defining the epidemiol- ogy of Covid-19 — studies needed. N Engl J … ,,,,,,,,,,,,,,,
"
568	[HTML][HTML] Data-based analysis, modelling and forecasting of the COVID-19 outbreak	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0230405	… The origin of COVID-19 has not yet been determined although preliminary investigations are",,,,,,,,,,,,,,,,
suggestive of a zoonotic, possibly of bat, origin [4, 5]. Similarly to SARS-CoV and MERS-CoV,,,,,,,,,,,,,
the novel virus is transmitted from person to person principally by respiratory droplets … ,,,,,,,,,,,,,,,,
"
569	[HTML][HTML] Cross-Country Comparison of Case Fatality Rates of COVID-19/SARS-COV-2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104689/	… large virus (120 nm) and is enveloped", containing a positive-sense single-stranded RNA [1].,,,,,,,,,,,,,,,
The virus is transmitted through direct … respiratory distress syndrome, septic shock, and organ,,,,,,,,,,,,,,
failure, which can lead to death [5]. Without a vaccine for COVID-19, transmission of the … ,,,,,,,,,,,,,,
"
570	[PDF][PDF] COVID-19 and Ophthalmology: A New Chapter in an Old Story	http://mehdijournal.com/index.php/mehdiophthalmol/article/viewFile/794/335	… be the first presentation of coronavirus infection", triage by ophthalmological services may be,,,,,,,,,,,,,,,
the first line of transmission of 2019 … 72 COVID-19 AND OPHTHALMOLOGY … persons who have,,,,,,,,,,,,,,,,
returned from such areas or those who are known to be infected) can transmit 2019-nCoV … ,,,,,,,,,,,,,,,,
"
571	Clinical Features and Treatment of COVID‐19 Patients in Northeast Chongqing	https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25783	… Case of the Index Patient Who Caused Tertiary Transmission of COVID-19 Infection in Korea:",,,,,,,,,,,,,,,,
the Application of Lopinavir/Ritonavir for the Treatment of COVID-19 Infected Pneumonia,,,,,,,,,,,,,,,,
Monitored by Quantitative RT-PCR. Journal of Korean medical science. 2020; 35 … ,,,,,,,,,,,,,,,,
"
572	Estimating the serial interval of the novel coronavirus disease (COVID-19): A statistical analysis using the public data in Hong Kong from January 16 to February 15 …	https://www.medrxiv.org/content/10.1101/2020.02.21.20026559v1.abstract	… Adopting the case-ascertained design [10]", we identified the transmission chain from index 64,,,,,,,,,,,,,,,
cases to secondary cases. We estimated the SI of COVID-19 based on 21 identified transmission,,,,,,,,,,,,,,,,
chains from 65 the surveillance data and contact tracing data in Hong Kong. 66 … ,,,,,,,,,,,,,,,,
"
573	Epidemiological characteristics of confirmed COVID-19 cases in Tianjin	https://europepmc.org/article/med/32164400	… The median of the incubation period of COVID-19 was 6.50 days", the average generation,,,,,,,,,,,,,,,
interval was 5 days, and the household secondary transmission rate was 20.46%. Fever,,,,,,,,,,,,,,,
was the main symptom (78.63%), followed by cough (56.48%) … ,,,,,,,,,,,,,,,
"
574	[HTML][HTML] COVID-19 pneumonia: what has CT taught us?	https://www.thelancet.com/article/S1473-3099(20)30134-1/abstract	… changes", supporting what was first observed in a familial cluster with COVID-19 pneumonia.,,,,,,,,,,,,,,,
7: Chan JF; Yuan S; Kok KH; et al. A familial cluster of pneumonia associated with the 2019 novel,,,,,,,,,,,,,,,,
coronavirus indicating person-to-person transmission: a study of a family cluster. Lancet … ,,,,,,,,,,,,,,,,
"
575	Clinical characteristics of novel coronavirus disease 2019 (COVID-19) in newborns, infants and children	https://www.pediatr-neonatol.com/article/S1875-9572(20)30026-7/abstract	… 10 x10Chen", C., Guo, J., Wang, C., Luo, F., Yu, X., Zhang, W. et al. Clinical characteristics,,,,,
and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant,,,,,,,,,,,,,,,,
women: a retrospective review of medical records. Lancet … ,,,,,,,,,,,,,,,,
"
576	Contact lens practice in the time of COVID-19	https://www.contactlensjournal.com/article/S1367-0484(20)30050-3/abstract	… There are several routes of transmission: airborne", direct contact, and indirect contact … It is currently,,,,,,,,,,,,,,
thought that the virus can be transmitted when people who are infected are … that SARS-CoV-2,,,,,,,,,,,,,,,,
has been detected in the tears and conjunctival secretions in COVID-19 patients with … ,,,,,,,,,,,,,,,,
"
577	COVID-19 pneumonia: infection control protocol inside computed tomography suites	https://link.springer.com/article/10.1007/s11604-020-00948-y	… Infection control inside the CT suites is also important to prevent hospital-related transmission",,,,,,,,,,,,,,,,
of COVID-19. We present our experience with infection control protocol for COVID-19 inside the,,,,,,,,,,,,,,,,
CT suites. Keywords COVID-19 · Pneumonia · Computed tomography · Infection … ,,,,,,,,,,,,,,,,
"
578	[HTML][HTML] COVID-19 R0: Magic number or conundrum?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7073717/	… a British businessman with COVID-19 has been alleged to transmit the infection … to isolation", fewer,,,,,,,,,,,,,,,
cases ascertained by contact tracing, and increasing transmission before symptoms. 14 … Control,,,,,,,,,,,,,,,
and Prevention (CCDC) on 72,314 individuals diagnosed with COVID-19 in China … ,,,,,,,,,,,,,,,
"
579	CSC expert consensus on principles of clinical management of patients with severe emergent cardiovascular diseases during the COVID-19 epidemic	https://www.ahajournals.org/doi/abs/10.1161/CIRCULATIONAHA.120.047011	… The over-arching principles laid out here are the following: 1) Consider the prevention and control",,,,,,,,,,,,,,,,
of COVID-19 transmission as the highest priority, including self-protection of medical staff; 2),,,,,,,,,,,,,,,
Patient risk assessment of both infection and cardiovascular issues … ,,,,,,,,,,,,,,,,
"
580	The COVID-19 pandemic: Implications for the cytology laboratory	https://www.sciencedirect.com/science/article/pii/S2213294520300454	… alleviate the fear and anxiety", it is important to have clear channels of communication, transmit,,,,,,,,,,,,,,
the information in person, and respond to any questions that may arise … Preparing for community,,,,,,,,,,,,,,,
transmission of COVID-19 in the United States. Available from URL … ,,,,,,,,,,,,,,,,
"
581	Pre-symptomatic Transmission in the Evolution of the COVID-19 Pandemic	https://arxiv.org/abs/2003.07353	The Coronavirus Disease 2019 (COVID-19), has infected more than 170,000 people globally and resulted in over 6,000 deaths over a three-month period. Contrary to mainstream views, there is growing literature on pre-symptomatic and asymptomatic …
582	[HTML][HTML] An update on COVID-19 for the radiologist-A British society of Thoracic Imaging statement	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7138157/	… 3) confirmed. Suspected cases are primarily those with a febrile respiratory illness",,,,,,,,,,,,,,,,
and history of travel to a country or region reporting local transmission of,,,,,,,,,,,,,,,,
COVID-19 disease during the 14 days prior to symptom onset. In the … ,,,,,,,,,,,,,,,,
